Vehicle_ID,RSU_ID,Road_Segment_ID,Time_Slot,Area_Type,Road_Type,Weather_Condition,Traffic_Density_Level,Vehicle_Speed_kmph,Vehicle_Acceleration_mps2,Vehicle_Direction_Change_deg,Inter_Vehicle_Distance_m,Vehicle_Density_per_km,Queue_Length,Avg_Stop_Time_s,Roadside_Unit_Load_pct,Edge_Server_Load_pct,Available_Bandwidth_Mbps,Channel_Gain_dB,Signal_Strength_dBm,SNR_dB,Packet_Size_KB,Packet_Generation_Rate_pps,Transmission_Power_mW,Receiving_Power_mW,Idle_Power_mW,Battery_Level_pct,Energy_Consumed_mJ,Residual_Energy_mJ,Hop_Count,Link_Stability_Index,Connection_Duration_s,Handover_Count,Neighbor_Node_Count,Road_Obstruction_Flag,Line_of_Sight_Flag,Attack_Alert_Flag,Data_Sensitivity_Level,QoS_Priority_Class,Sensor_Message_Count,Traffic_Camera_Message_Count,Roadside_Event_Message_Count,Local_Computation_Load_pct,Update_Payload_Size_KB,Processing_Delay_ms,Queueing_Delay_ms,Propagation_Delay_ms,End_to_End_Latency_ms,Jitter_ms,Routing_Overhead_packets,Control_Message_Count,Packet_Loss_Rate_pct,Packet_Delivery_Ratio_pct,Throughput_Mbps,Route_Change_Count,Route_Stability_Index,Resource_Utilization_pct,Network_Lifetime_Score,Privacy_Risk_Score,Communication_Reliability_Score,Energy_Efficiency_Score,target_transmission_category
VEH_01810,RSU_0030,SEG_0105,Midday,Suburban,Tunnel,Clear,High,52.04,2.066,14.11,42.6,52.82,7,5.65,89.88,75.06,100.38,-70.56,-47.07,31.4,49.79,92.63,275.48,124.44,17.83,100.0,54.657,4327.421,3,0.6722,26.51,0,12,0,0,0,High,Standard,191.75,64.77,40.58,57.94,291.77,39.011,20.08,10.499,65.606,12.002,30.44,37.44,0.286,96.557,88.577,2,0.8062,78.39,94.002,64.374,76.412,38.26,Highly_Efficient_Secure_Transmission
VEH_01295,RSU_0199,SEG_0287,Early_Morning,Highway,Curved_Road,Windy,High,69.94,1.589,11.04,34.86,39.89,8,37.03,98.0,71.5,56.74,-71.48,-76.27,21.6,28.9,73.71,238.43,143.61,32.41,40.43,44.264,1622.214,2,0.559,19.42,1,9,1,1,0,Medium,High_Priority,150.97,58.99,28.82,48.05,230.85,26.872,27.007,5.727,67.233,11.406,30.83,36.9,6.051,94.212,44.067,2,0.5981,77.6,28.928,38.657,62.81,20.361,Poor_Transmission
VEH_02256,RSU_0201,SEG_0169,Evening_Peak,Urban,Intersection,Rainy,Very_High,22.62,1.206,7.61,46.9,54.4,16,34.53,81.55,75.64,43.6,-91.7,-82.43,20.21,28.82,71.27,409.84,174.27,35.83,69.69,65.548,2814.226,4,0.7476,2.0,2,20,0,1,0,Medium,Background,195.0,123.83,41.31,88.73,285.57,24.646,30.937,7.419,70.596,12.5,51.15,64.44,4.203,94.575,32.224,3,0.8223,80.33,63.123,45.061,77.058,17.636,Moderate_Transmission
VEH_01608,RSU_0153,SEG_0420,Evening_Peak,Urban,Flyover,Clear,Medium,37.26,0.635,15.12,70.17,35.53,6,20.42,46.21,52.72,74.53,-68.09,-57.34,31.83,4.37,69.13,301.69,175.34,53.22,89.87,39.851,3855.957,3,0.7304,30.98,0,13,0,1,0,Medium,Emergency,96.1,83.46,22.57,46.95,158.27,20.812,9.706,8.681,44.268,11.986,20.62,28.24,5.416,94.021,64.856,0,0.873,46.12,89.469,46.572,77.679,37.834,Highly_Efficient_Secure_Transmission
VEH_01084,RSU_0225,SEG_0047,Evening_Peak,Suburban,Multi_Lane_Road,Clear,Medium,60.64,0.389,15.61,49.04,72.87,8,30.54,33.53,37.88,87.03,-56.76,-55.26,24.07,29.35,79.14,376.28,135.34,31.88,95.1,36.795,4122.797,5,0.5792,18.47,3,23,0,1,0,Medium,Standard,106.42,47.22,15.28,52.29,248.53,25.403,13.725,11.095,60.546,6.931,31.53,33.31,5.574,93.572,75.365,3,0.6666,44.25,86.37,47.035,64.711,41.202,Efficient_Transmission
VEH_02478,RSU_0127,SEG_0043,Early_Morning,Highway,Tunnel,Rainy,Medium,81.49,1.237,38.69,59.37,14.64,7,26.0,36.92,48.88,121.67,-88.26,-71.43,31.98,22.74,89.42,390.63,288.15,42.78,72.93,60.24,3151.528,4,0.5293,5.07,4,13,1,1,1,Medium,Emergency,86.62,47.89,23.42,34.03,220.09,20.855,17.346,2.939,64.976,9.539,38.11,36.5,14.374,84.001,92.854,4,0.4437,39.12,58.436,50.468,48.399,25.929,Poor_Transmission
VEH_00985,RSU_0193,SEG_0321,Morning_Peak,Highway,Straight_Road,Rainy,Very_High,64.49,0.474,22.76,33.61,70.32,14,39.52,76.79,74.87,35.56,-98.76,-87.71,26.18,22.2,106.65,407.8,192.18,29.0,76.39,63.82,3134.334,1,0.4451,26.09,2,17,1,1,0,Medium,Background,214.17,94.26,28.93,75.14,196.59,27.15,26.842,5.037,71.58,7.704,33.7,63.32,7.743,92.35,23.037,1,0.517,75.68,61.045,41.402,52.716,20.483,Poor_Transmission
VEH_01681,RSU_0115,SEG_0221,Night,Highway,Straight_Road,Clear,Very_High,41.42,1.046,21.91,17.81,69.06,6,33.18,86.63,51.54,61.85,-68.31,-57.95,23.5,58.08,139.4,159.62,174.12,54.13,43.16,51.196,1776.173,5,0.646,23.88,0,25,0,1,0,High,Background,154.69,110.61,48.01,80.95,229.68,24.978,21.23,8.981,53.552,9.859,43.65,58.09,4.122,94.374,52.494,2,0.7861,70.11,37.597,67.595,75.451,20.657,Poor_Transmission
VEH_00520,RSU_0006,SEG_0513,Evening_Peak,Smart_City_Zone,Multi_Lane_Road,Clear,Very_High,44.36,0.849,14.91,18.5,72.42,15,38.01,54.41,85.57,64.97,-57.16,-52.24,29.93,34.38,111.45,279.59,137.37,47.11,64.29,65.666,2712.18,6,0.6242,34.15,4,27,1,1,0,Medium,Standard,160.56,73.0,34.69,86.78,360.07,23.55,21.182,7.798,68.512,13.712,55.93,52.22,6.035,92.762,51.239,7,0.532,74.49,47.825,47.201,61.935,19.615,Poor_Transmission
VEH_00591,RSU_0018,SEG_0441,Morning_Peak,Highway,Multi_Lane_Road,Cloudy,Medium,88.46,0.938,32.31,52.54,44.18,4,11.67,43.02,41.65,87.05,-74.26,-69.68,24.43,36.68,95.73,207.76,247.54,43.29,77.92,41.614,3292.716,3,0.407,8.86,2,14,0,0,0,Critical,Standard,119.48,33.69,15.75,49.83,207.81,22.745,16.407,9.403,53.236,6.804,39.84,47.94,3.484,95.814,76.011,4,0.4308,47.59,61.564,94.002,59.914,35.981,Poor_Transmission
VEH_01051,RSU_0010,SEG_0144,Morning_Peak,Smart_City_Zone,Curved_Road,Rainy,Medium,44.31,3.316,6.27,68.8,35.2,7,11.45,37.79,36.51,87.7,-78.85,-75.94,24.49,32.24,108.62,252.16,198.59,34.94,92.03,40.721,3953.515,3,0.7487,26.79,0,12,0,1,0,Medium,Standard,108.99,38.73,19.27,35.53,195.03,18.397,9.643,5.037,36.736,9.765,29.72,32.06,3.495,96.26,81.158,0,0.8948,41.91,91.679,36.849,83.204,46.651,Highly_Efficient_Secure_Transmission
VEH_01710,RSU_0092,SEG_0028,Midday,Urban,Intersection,Clear,Medium,43.94,1.184,11.99,65.2,55.19,13,21.31,95.93,68.54,94.04,-70.2,-47.08,36.11,32.03,95.0,295.06,117.58,53.43,96.95,45.396,4190.316,4,0.8172,49.66,2,7,0,1,0,Low,Standard,58.28,46.82,18.02,30.56,149.44,27.098,32.709,7.541,76.438,9.117,49.64,48.94,0.1,98.967,84.876,5,0.875,78.59,95.499,30.591,85.089,40.655,Highly_Efficient_Secure_Transmission
VEH_02036,RSU_0139,SEG_0553,Morning_Peak,Urban,Multi_Lane_Road,Clear,Medium,46.17,1.228,13.55,44.0,28.68,9,27.46,29.19,39.83,123.03,-57.14,-59.02,32.87,26.07,77.36,313.41,127.97,50.47,77.98,42.931,3323.575,1,0.6611,34.66,0,12,1,1,0,Medium,Standard,92.59,59.54,38.1,37.92,100.31,24.4,17.722,8.287,54.437,4.437,3.57,19.71,2.294,96.833,115.121,2,0.7784,34.2,74.163,36.94,75.89,41.75,Highly_Efficient_Secure_Transmission
VEH_02247,RSU_0225,SEG_0167,Evening_Peak,Urban,Multi_Lane_Road,Clear,Low,68.35,2.286,22.64,59.86,52.45,5,13.13,18.92,56.48,119.36,-64.58,-56.86,26.33,57.04,101.35,266.22,95.27,54.77,77.49,45.965,3361.317,1,0.5784,2.0,3,10,0,1,0,Low,High_Priority,96.6,39.77,24.29,31.34,158.04,28.913,11.674,3.668,58.14,7.931,29.2,41.24,1.105,96.599,105.402,3,0.6536,38.81,65.557,22.844,71.221,37.066,Efficient_Transmission
VEH_02435,RSU_0193,SEG_0586,Night,Urban,Tunnel,Clear,Low,52.97,0.378,10.23,62.85,38.27,6,25.54,49.02,29.77,87.59,-73.6,-50.62,34.57,55.33,40.43,207.2,112.6,31.82,100.0,26.582,4272.585,3,0.749,36.35,0,14,0,1,0,Medium,Background,97.16,46.57,20.71,31.59,157.04,10.465,21.282,4.618,37.605,12.413,17.99,33.34,0.1,98.101,83.66,1,0.9537,36.94,98.897,45.236,87.248,51.862,Highly_Efficient_Secure_Transmission
VEH_00349,RSU_0077,SEG_0249,Morning_Peak,Suburban,Straight_Road,Cloudy,Medium,49.37,1.186,18.15,43.51,35.89,11,0.0,34.98,30.39,100.85,-69.06,-62.72,28.16,40.39,59.83,394.08,173.82,48.65,72.11,34.264,3087.03,7,0.6617,11.48,1,18,0,0,0,Low,Standard,118.48,65.9,20.38,49.85,174.26,24.18,23.091,12.575,60.861,10.529,39.74,34.93,0.814,98.069,97.381,2,0.7966,32.28,72.673,19.957,77.693,39.373,Highly_Efficient_Secure_Transmission
VEH_00960,RSU_0101,SEG_0357,Early_Morning,Suburban,Flyover,Clear,Medium,55.08,0.241,5.07,44.42,38.09,10,24.32,51.4,50.79,68.07,-44.74,-50.13,41.91,39.35,69.01,164.62,158.11,65.81,46.42,33.054,1993.514,3,0.8994,29.85,0,19,0,1,0,High,Standard,82.24,61.49,38.09,31.94,198.14,41.034,22.579,7.488,73.675,9.891,30.68,30.18,0.1,99.129,57.627,3,0.99,49.53,55.431,67.115,88.514,33.474,Efficient_Transmission
VEH_01964,RSU_0084,SEG_0111,Night,Highway,Straight_Road,Windy,Medium,87.72,1.826,11.92,30.69,56.44,6,27.69,61.21,56.16,72.07,-74.18,-84.71,23.71,65.04,32.31,280.85,213.57,36.92,75.81,42.216,3302.583,1,0.4748,19.2,1,17,0,1,0,Medium,High_Priority,72.01,78.16,15.14,39.26,182.5,22.363,15.904,4.864,45.522,11.027,27.63,52.63,1.463,96.833,68.581,0,0.6767,54.17,72.231,49.455,65.212,40.688,Efficient_Transmission
VEH_00693,RSU_0193,SEG_0234,Early_Morning,Highway,Multi_Lane_Road,Clear,Medium,94.45,1.799,7.95,25.69,31.58,6,18.5,71.14,60.5,63.71,-69.0,-57.14,38.01,38.48,80.48,322.61,68.3,46.89,66.31,48.629,2810.125,6,0.5768,28.31,1,14,0,0,1,Medium,Background,98.77,45.94,19.91,42.7,153.37,18.297,20.733,15.353,58.057,8.088,38.68,43.9,6.611,93.222,49.484,1,0.6504,64.3,58.657,56.458,69.622,23.381,Moderate_Transmission
VEH_01560,RSU_0052,SEG_0024,Night,Smart_City_Zone,Straight_Road,Clear,High,42.42,-0.392,7.15,11.59,59.0,8,26.78,65.97,58.31,70.37,-52.53,-55.93,24.09,55.1,109.66,237.21,154.37,18.05,55.76,49.49,2270.568,6,0.6849,30.63,3,22,0,0,0,High,Standard,128.25,80.08,35.34,63.78,223.58,20.05,12.757,13.257,61.034,5.512,51.48,65.09,5.317,94.84,55.158,5,0.7225,67.41,47.172,72.686,71.602,23.628,Poor_Transmission
VEH_00378,RSU_0195,SEG_0026,Evening_Peak,Smart_City_Zone,Flyover,Clear,Medium,48.49,1.981,7.03,36.39,44.69,6,12.36,23.56,41.47,84.06,-64.77,-54.97,30.67,61.89,77.68,233.4,169.76,56.04,100.0,38.472,4366.477,1,0.7732,21.95,0,11,0,1,0,Low,Standard,124.14,38.92,24.52,41.86,234.54,15.431,10.521,3.792,26.333,8.661,17.68,26.61,0.1,99.195,74.916,1,0.8862,33.52,92.671,19.715,79.5,46.374,Highly_Efficient_Secure_Transmission
VEH_00527,RSU_0210,SEG_0381,Night,Urban,Intersection,Rainy,High,39.05,2.33,11.01,56.3,57.92,11,16.5,72.3,73.9,62.67,-85.49,-92.12,12.21,47.51,72.31,348.59,201.71,50.67,91.1,52.622,3968.705,4,0.6157,25.76,0,12,1,1,0,High,Emergency,100.26,61.75,20.29,65.12,234.85,24.06,16.814,6.737,56.901,11.239,52.97,63.76,9.202,89.425,45.641,1,0.6594,69.21,81.492,66.018,64.311,31.658,Moderate_Transmission
VEH_02254,RSU_0233,SEG_0346,Morning_Peak,Urban,Tunnel,Rainy,Medium,49.49,2.039,45.88,98.27,50.45,6,27.37,20.16,56.53,94.55,-103.78,-95.68,25.99,33.82,80.44,394.59,205.53,49.78,100.0,41.388,4210.224,4,0.4387,7.28,0,18,0,1,0,Medium,High_Priority,92.06,66.9,30.17,46.09,186.98,22.815,16.544,6.818,48.84,8.8,16.89,42.43,0.754,97.416,88.071,2,0.5804,42.62,79.955,43.757,66.219,39.887,Efficient_Transmission
VEH_01260,RSU_0206,SEG_0378,Early_Morning,Urban,Intersection,Foggy,High,34.66,0.735,9.97,66.55,64.95,9,19.91,42.69,83.68,86.3,-100.87,-102.23,21.32,30.52,90.21,347.69,214.79,54.69,68.52,57.224,2827.462,7,0.7145,31.82,2,21,1,1,0,Low,Background,128.78,63.9,34.54,69.29,239.88,27.252,14.552,15.055,65.963,9.799,53.08,42.34,4.756,93.953,68.663,3,0.7764,65.56,58.751,30.445,71.207,25.981,Moderate_Transmission
VEH_01876,RSU_0031,SEG_0522,Midday,Urban,Straight_Road,Rainy,Low,65.05,2.82,23.07,76.32,37.88,1,31.03,61.13,25.96,121.96,-100.03,-80.57,23.96,49.97,28.08,354.07,248.78,72.9,68.82,40.418,2995.943,6,0.5328,36.44,1,6,0,1,0,High,Standard,42.93,28.05,21.47,41.57,194.14,28.33,16.979,13.756,60.736,5.361,24.51,20.86,4.14,94.041,111.599,2,0.5914,42.58,60.164,65.083,70.341,38.713,Moderate_Transmission
VEH_01764,RSU_0219,SEG_0017,Midday,Suburban,Flyover,Clear,Low,57.97,2.576,5.96,64.02,44.96,11,7.74,15.76,21.81,128.66,-48.82,-69.83,33.57,17.23,51.42,293.71,168.44,54.37,61.98,37.894,2700.582,1,0.7049,22.69,1,6,0,1,1,Medium,High_Priority,69.45,49.97,25.47,64.16,145.75,10.265,16.389,4.959,44.429,4.955,26.43,33.66,3.965,96.722,118.832,0,0.7841,22.97,62.0,53.314,76.468,41.808,Efficient_Transmission
VEH_00521,RSU_0145,SEG_0245,Morning_Peak,Highway,Curved_Road,Foggy,High,76.09,1.692,15.94,37.13,61.08,6,11.32,54.2,59.89,56.03,-98.52,-90.07,35.54,47.4,94.9,412.66,291.36,47.5,77.96,62.684,3232.691,4,0.6591,41.77,1,21,0,1,0,High,Standard,69.51,63.55,29.35,59.49,190.75,22.898,9.144,10.222,43.435,9.169,41.71,47.01,3.242,94.973,49.568,3,0.6909,53.78,72.76,59.508,71.096,27.262,Moderate_Transmission
VEH_01702,RSU_0183,SEG_0539,Night,Urban,Curved_Road,Clear,Very_High,34.93,1.131,14.4,36.06,66.98,14,22.03,77.37,96.62,53.51,-53.9,-44.66,34.82,34.97,154.21,197.54,168.14,34.54,63.8,70.716,2669.733,5,0.7554,25.64,0,21,0,1,0,Critical,Standard,129.61,108.04,36.84,96.32,227.11,32.821,23.253,14.11,70.175,12.573,34.28,43.39,1.597,98.477,41.956,1,0.9294,92.05,63.931,81.305,82.934,20.516,Efficient_Transmission
VEH_01017,RSU_0110,SEG_0583,Evening_Peak,Highway,Multi_Lane_Road,Rainy,Low,130.0,2.024,6.09,98.14,22.44,6,10.09,32.69,26.54,100.33,-81.29,-85.2,20.31,38.17,47.88,453.74,142.11,35.63,99.1,40.948,4238.756,1,0.2638,11.33,7,9,0,1,0,Critical,Standard,86.75,40.66,19.25,34.11,213.58,14.217,13.614,6.946,53.623,11.125,43.65,28.7,6.779,92.189,86.505,3,0.2522,29.39,81.226,86.303,45.274,37.553,Poor_Transmission
VEH_01014,RSU_0093,SEG_0202,Evening_Peak,Highway,Intersection,Clear,Low,110.03,1.071,16.27,61.43,34.37,6,5.72,48.1,27.84,165.09,-58.98,-64.01,21.61,23.18,49.89,213.46,200.7,48.49,65.78,24.029,2838.051,2,0.3952,3.6,3,12,1,0,0,Critical,Standard,143.85,80.35,11.82,33.13,224.23,19.595,20.438,6.949,65.399,7.379,27.27,24.33,4.438,94.265,147.98,3,0.4316,39.69,56.685,87.053,55.896,50.548,Moderate_Transmission
VEH_00117,RSU_0164,SEG_0248,Morning_Peak,Urban,Flyover,Clear,Very_High,35.14,1.231,10.18,34.41,75.9,11,29.23,71.32,79.07,65.72,-50.85,-64.96,27.85,61.6,94.33,192.47,153.72,45.68,52.0,47.256,2150.647,3,0.727,34.42,1,17,0,1,0,Medium,Background,178.86,87.71,30.25,76.76,314.16,20.418,20.652,12.611,56.903,12.007,45.95,69.62,3.812,95.388,59.157,0,0.8934,79.89,54.009,41.401,81.198,25.357,Efficient_Transmission
VEH_02434,RSU_0229,SEG_0118,Evening_Peak,Suburban,Intersection,Cloudy,Low,60.19,2.474,18.76,74.5,16.08,8,9.2,35.65,44.88,113.74,-62.07,-64.75,36.82,52.77,43.79,264.84,211.96,55.68,42.17,35.647,1798.388,1,0.6548,13.67,1,4,0,0,0,High,High_Priority,125.94,41.37,9.62,42.66,187.14,20.183,22.505,6.594,49.478,9.735,22.25,17.28,0.1,98.389,103.331,1,0.7836,45.92,46.032,65.774,76.847,34.941,Moderate_Transmission
VEH_01368,RSU_0154,SEG_0009,Evening_Peak,Smart_City_Zone,Tunnel,Clear,Medium,36.11,1.312,18.94,53.94,49.43,13,27.46,71.72,64.49,93.82,-67.19,-71.28,40.33,35.44,74.12,337.51,130.79,32.3,64.82,47.911,2759.279,2,0.8164,26.63,0,15,0,1,0,Medium,Standard,90.01,59.72,24.45,56.72,287.37,22.236,30.292,7.008,64.573,9.547,31.51,33.59,1.403,98.177,87.755,0,0.99,65.51,67.011,43.568,85.928,33.241,Highly_Efficient_Secure_Transmission
VEH_00584,RSU_0053,SEG_0598,Midday,Suburban,Tunnel,Windy,Very_High,34.12,2.031,10.31,10.27,63.28,11,26.21,64.2,75.27,47.96,-68.55,-91.39,25.9,29.85,146.54,176.96,170.0,59.99,71.78,55.53,2951.979,7,0.7868,44.5,0,21,0,0,0,High,Standard,161.73,70.79,35.73,59.19,314.68,29.937,17.517,9.198,52.149,13.302,43.71,60.47,0.627,98.129,37.015,1,0.99,60.8,69.798,68.97,87.345,23.891,Efficient_Transmission
VEH_00395,RSU_0145,SEG_0023,Night,Urban,Flyover,Cloudy,High,31.72,3.328,19.39,39.0,49.49,12,19.91,73.08,88.57,85.66,-74.08,-66.32,12.41,60.39,104.56,369.81,142.94,46.71,91.37,62.44,3926.299,5,0.5616,24.84,0,24,0,1,0,Medium,High_Priority,155.96,80.76,23.14,91.07,286.25,33.182,22.434,10.084,66.648,11.637,36.85,41.81,2.329,97.096,75.436,0,0.7746,80.97,82.047,45.176,71.748,25.414,Efficient_Transmission
VEH_01088,RSU_0086,SEG_0240,Morning_Peak,Urban,Multi_Lane_Road,Clear,Medium,57.43,2.418,21.52,38.77,46.51,5,22.43,29.81,39.92,76.54,-70.38,-66.15,36.45,45.48,87.9,280.38,179.44,41.38,52.28,41.299,2136.079,1,0.6196,25.83,2,16,0,0,0,Medium,Standard,115.3,64.7,21.62,31.89,152.81,8.37,12.233,4.031,31.933,11.151,21.6,31.33,1.87,96.788,72.492,1,0.7473,32.27,54.568,49.526,73.001,32.548,Efficient_Transmission
VEH_00072,RSU_0153,SEG_0585,Morning_Peak,Urban,Intersection,Clear,Very_High,40.61,0.604,24.76,61.83,51.01,10,28.48,77.77,86.25,38.18,-68.36,-50.43,30.39,76.72,128.74,80.0,192.47,35.69,43.7,59.765,1700.466,3,0.7201,26.37,0,13,0,1,0,Critical,Standard,235.17,57.99,35.96,75.54,364.48,37.032,30.765,5.981,73.937,12.318,48.55,63.73,3.439,96.741,27.793,1,0.8696,83.82,42.086,83.945,79.683,19.54,Moderate_Transmission
VEH_00274,RSU_0002,SEG_0027,Early_Morning,Urban,Flyover,Cloudy,High,48.48,3.083,18.47,49.16,72.97,9,12.96,50.86,60.29,74.91,-74.38,-62.95,28.72,62.76,162.99,303.97,130.59,34.23,100.0,60.097,4236.158,4,0.6302,15.0,0,28,1,1,0,High,High_Priority,118.37,83.76,37.98,69.33,210.46,25.473,15.671,11.67,55.997,7.52,26.83,30.32,5.531,93.247,61.358,3,0.7396,55.12,89.388,68.644,70.463,30.2,Efficient_Transmission
VEH_02014,RSU_0247,SEG_0081,Evening_Peak,Industrial,Tunnel,Cloudy,Low,61.38,2.77,11.84,86.73,42.87,2,9.07,34.33,46.78,127.95,-83.12,-68.96,37.07,36.18,44.83,229.82,215.09,56.19,82.08,31.802,3493.016,1,0.7443,33.93,2,11,0,1,0,Critical,High_Priority,48.14,60.39,6.77,44.17,184.69,17.977,10.077,5.327,33.023,11.654,17.92,18.96,0.1,99.95,128.661,2,0.8603,41.18,83.116,83.532,79.751,50.275,Highly_Efficient_Secure_Transmission
VEH_01344,RSU_0086,SEG_0596,Evening_Peak,Urban,Curved_Road,Clear,High,42.69,2.44,21.56,31.69,46.61,4,14.86,81.19,92.58,88.84,-69.69,-52.21,39.45,20.75,125.95,242.29,97.07,38.08,66.29,59.412,2743.362,6,0.7388,13.14,3,16,0,1,0,Medium,High_Priority,142.8,52.51,32.18,63.12,297.2,29.051,22.593,10.955,71.892,8.751,35.4,36.79,1.21,97.69,79.613,3,0.8235,76.98,60.509,41.897,83.485,26.055,Efficient_Transmission
VEH_00338,RSU_0133,SEG_0199,Morning_Peak,Urban,Intersection,Cloudy,Medium,36.46,1.068,9.12,49.61,43.11,9,23.14,48.7,40.31,89.23,-74.81,-59.16,18.79,56.92,74.85,313.82,107.15,50.32,65.65,40.22,2808.447,2,0.6694,23.25,1,17,0,1,0,Low,High_Priority,117.28,74.86,13.09,54.7,282.4,32.168,22.534,3.481,58.703,11.927,11.64,24.92,2.249,97.671,80.438,2,0.7633,45.25,65.871,30.989,74.911,34.432,Efficient_Transmission
VEH_01390,RSU_0004,SEG_0555,Morning_Peak,Urban,Multi_Lane_Road,Cloudy,High,49.52,1.78,20.87,66.81,60.03,18,37.99,58.1,64.39,72.39,-67.78,-74.8,26.7,39.84,78.01,234.96,107.92,59.39,64.98,41.986,2798.239,6,0.6397,29.25,2,19,0,1,0,Critical,Standard,110.29,69.67,50.51,35.31,223.75,27.293,28.876,16.105,79.012,9.564,46.9,50.33,5.947,94.815,61.162,1,0.6628,53.71,62.188,89.851,66.479,27.388,Poor_Transmission
VEH_00607,RSU_0164,SEG_0092,Early_Morning,Industrial,Straight_Road,Rainy,Very_High,37.52,1.584,17.8,46.66,64.51,11,27.59,76.12,89.37,102.0,-95.75,-88.68,16.78,31.28,114.94,333.73,130.39,47.64,68.43,61.004,2753.84,3,0.5822,25.94,0,33,1,0,0,Medium,Background,131.9,73.03,41.64,57.65,270.9,25.861,23.527,7.882,65.844,12.045,39.37,60.37,5.298,92.251,87.724,2,0.7102,76.35,59.432,51.009,69.06,25.345,Moderate_Transmission
VEH_00166,RSU_0006,SEG_0084,Morning_Peak,Urban,Curved_Road,Cloudy,Low,51.58,1.703,31.02,78.39,28.78,10,17.82,35.04,32.8,96.04,-66.51,-66.23,33.16,46.31,59.68,357.04,187.47,53.14,57.63,50.939,2352.793,3,0.6163,9.15,1,12,1,1,0,Critical,Standard,60.5,66.9,35.55,30.07,51.6,17.369,19.214,5.514,48.365,10.284,12.89,32.28,3.942,95.194,86.393,1,0.774,32.38,56.627,83.066,69.378,24.686,Moderate_Transmission
VEH_01568,RSU_0244,SEG_0300,Midday,Urban,Intersection,Clear,High,41.14,2.626,13.69,58.43,57.27,14,22.42,39.45,70.69,88.05,-67.81,-60.14,24.26,31.85,105.8,254.73,73.13,44.45,56.67,47.895,2346.402,4,0.698,15.28,1,13,0,1,0,High,Standard,123.14,69.51,26.39,50.83,288.21,25.324,12.297,6.895,47.728,10.378,42.25,38.25,2.718,97.14,73.884,2,0.8118,53.02,57.775,71.087,77.679,29.807,Efficient_Transmission
VEH_02059,RSU_0149,SEG_0296,Morning_Peak,Highway,Straight_Road,Rainy,Medium,83.08,2.149,10.65,78.53,44.89,6,17.89,68.59,63.04,84.81,-90.08,-82.71,15.95,25.19,83.08,383.51,185.48,49.91,45.23,45.264,1782.816,3,0.5049,21.09,5,17,0,1,0,High,High_Priority,110.8,51.48,22.24,71.11,154.34,28.932,21.103,9.435,71.399,10.268,51.04,46.68,7.174,91.804,64.283,2,0.5201,68.62,32.777,59.798,60.161,20.542,Poor_Transmission
VEH_01325,RSU_0205,SEG_0454,Morning_Peak,Suburban,Multi_Lane_Road,Clear,Medium,74.65,0.117,6.55,73.21,43.67,7,25.01,44.43,54.56,88.87,-47.1,-54.22,38.87,20.93,55.62,217.04,155.95,33.33,62.8,43.615,2665.335,1,0.6439,20.04,1,23,0,1,0,High,Standard,141.46,34.17,31.45,40.98,185.41,29.191,24.352,1.0,61.55,7.18,30.88,36.94,2.72,96.869,74.267,1,0.774,45.45,61.267,65.103,79.293,34.218,Efficient_Transmission
VEH_00729,RSU_0118,SEG_0281,Evening_Peak,Urban,Curved_Road,Clear,High,28.15,1.09,16.41,54.9,59.06,9,16.79,57.78,46.6,82.79,-57.96,-69.38,24.6,35.78,73.0,228.01,111.67,43.58,41.65,37.605,1626.849,6,0.7686,24.92,0,10,0,0,0,High,High_Priority,152.65,78.0,39.9,61.33,281.24,21.472,22.448,12.731,60.436,8.435,30.68,49.28,4.006,95.679,74.994,5,0.8561,54.17,43.846,68.03,74.851,28.269,Moderate_Transmission
VEH_02044,RSU_0229,SEG_0059,Midday,Urban,Straight_Road,Foggy,High,37.76,1.409,23.15,56.06,62.25,6,17.59,73.91,59.7,13.05,-93.2,-84.14,17.83,37.85,92.67,364.35,207.05,57.2,100.0,50.134,4245.875,4,0.5062,15.11,1,20,0,1,0,Low,Standard,119.24,55.29,45.24,82.7,331.42,27.154,20.537,8.91,55.342,12.554,49.11,40.28,4.607,95.64,5.486,5,0.5412,74.32,84.55,32.414,63.293,30.637,Moderate_Transmission
VEH_00102,RSU_0247,SEG_0342,Evening_Peak,Industrial,Multi_Lane_Road,Clear,Very_High,27.92,2.653,3.8,30.42,68.64,13,32.7,71.06,68.51,68.54,-77.16,-51.86,33.44,27.7,135.08,274.23,188.18,46.94,80.24,65.119,3395.582,7,0.8784,7.76,0,23,0,0,0,Critical,High_Priority,194.93,95.15,55.71,87.26,316.54,23.959,32.864,13.967,74.536,9.255,54.88,66.89,0.698,98.905,57.938,4,0.915,79.96,75.711,88.604,84.565,25.203,Efficient_Transmission
VEH_01416,RSU_0089,SEG_0465,Early_Morning,Smart_City_Zone,Curved_Road,Rainy,Very_High,32.02,1.136,67.9,36.72,76.33,12,28.58,98.0,64.04,79.82,-78.99,-84.85,17.83,40.54,115.64,281.13,219.58,56.74,47.48,62.168,1993.983,8,0.4014,20.52,1,20,0,0,0,Low,High_Priority,150.5,79.24,51.37,56.32,330.09,24.685,20.691,13.577,63.631,12.746,66.12,56.48,6.157,92.981,64.684,3,0.4563,66.08,37.614,27.98,56.839,16.686,Poor_Transmission
